,question,modified_relation
142,Which animal in this image has no feet,HasA
1591,What living stuff in the image has no feet?,HasA
140,Which object in this image can be found in a hole in rocks,AtLocation
141,Which animal in this image is related to poison,RelatedTo
942,Why people think this animal is dangerous?,RelatedTo
2701,which object in this image is capable of viewing a painting?,CapableOf
148,What is the object on the right of the screen can be used for?,UsedFor
149,Which friut in this image belongs to Rosoideae?,Category
4886,What is one object in this image which is nutritious?,HasProperty
2702,which object in this image is capable of growing a plant?,CapableOf
3342,What clothing are you likely to find on a beach?,AtLocation
1190,which vehicle in this image is longer than car?,Comparative
2712,Which object in this image may be related to particle board?,RelatedTo
2713,What can be found in this place?,AtLocation
2710,What in this image might be used with a nail?,RelatedTo
2711,Which object in this image is related to firewood?,RelatedTo
2716,Which object in this image is used for driving home nails?,UsedFor
2717,What object in this image can be used to chop wood?,CapableOf
2718,What object in this image can be used to chop wood?,CapableOf
2719,What object in this image can be used to chop wood?,CapableOf
5450,Which object in this image is capable of chopping wood?,CapableOf
2714,Which object in this image is capable of nailing boards?,CapableOf
3181,Which object in this image can be used to nail board?,CapableOf
2715,Which object in this image is used to nail wood?,CapableOf
3346,What can you find on a beach that allows you to play sports?,AtLocation
3347,Which object in this image belongs to the category Livestock?,Category
3344,What other objects are you likely to find at such a location?,AtLocation
3723,What objects can be found in this place?,AtLocation
3091,Which objects in this image may be known as avians?,HasProperty
829,Which object in this image is used for pounding nails?,UsedFor
828,Which object in this image can be used for pulling out nails,UsedFor
824,What do we usually wear when we doing this?,RelatedTo
827,Which is faster in the image? the machine or the animal?,Comparative
826,What kind of flower belongs to?,IsA
821,What is a bus used for,UsedFor
820,Which food is the most expensive?,RelatedTo
5252,which object in this image is capable of jumping onto a table or chair?,CapableOf
5253,which object in this image is capable of drinking water?,CapableOf
5250,which object in this image has fur?,PartOf
5251,which object in this image is capable of sensing things with their wiskers?,CapableOf
5257,What is the place in this image used for?,UsedFor
5254,which object in this image is a mammal?,Category
1714,Which object in this image has the property of good when make into pie?,HasProperty
5258,Which object in this image is used for take bath in?,UsedFor
5259,Which object in this image can flush?,CapableOf
3018,Which musical instrument in this image belongs to the category String instrument?,IsA
3012,Which object in this image is used for hold coffee?,UsedFor
4917,What in this image can be used for hold coffee?,UsedFor
3013,Which object in this image can be found in shop?,AtLocation
3010,What vessel is seen here?,IsA
3011,Which object in this image brewed?,AtLocation
3017,What object in the image can be used as a secondary color?,IsA
3014,which fruit in this image is tougher than orange?,Comparative
3015,What shown here is related to agriculture?,Category
5663,Which object in this image has a lid or cap?,HasA
5662,Which object in this image can likely be found in any school?,AtLocation
5661,Which object in this image has keys?,HasA
2027,Which object in this image has a key,HasA
5660,What kind of Road transport is used in this image?,Category
5666,What kind people are you likely to find in a ballroom?,AtLocation
5118,What can be found in this place?,AtLocation
5664,Which object in this image is capable of land in a lane?,CapableOf
5669,What shown here can feel wet?,CapableOf
5668,Which accessory in this image is a protection?,IsA
11,What do we use to cross over the body of water?,UsedFor
13,What is the color of the instruments?,RelatedTo
12,What is the musical instruments in this image?,IsA
15,Which object in this image is related to signalling,RelatedTo
16,Which object in this image is related to pedestrian crossing,RelatedTo
3904,which object in this image is more expensive than desktop?,Comparative
3905,Which object in this image is similar to dirt?,RelatedTo
3906,Which place is more important than the place shown in this image,Comparative
3907,What stuff belongs to balls?,Category
3900,Which object in this image is related to pine?,RelatedTo
3901,What is the object in the left side of this image used for?,UsedFor
3903,What is the object in this image that is sometimes more convenient than a desktop computer?,Comparative
1472,Which object in this image is sometimes more convenient than a desktop computer?,Comparative
3908,Which object in this image is a pet?,UsedFor
3909,which object in this image walks faster than human,Comparative
200,What does a coffee maker used for,UsedFor
203,What is the class of the animal?,Category
202,What is the order of the animal?,Category
205,What kind of tail does the animal in the image has?,RelatedTo
